scenario,phase,latency_avg_ms,latency_min_ms,latency_max_ms,throughput_msg_s,influxdb_available,nodered_available,grafana_available,temp_anomalies,humidity_anomalies,power_anomalies,temp_integrity
scenario_1,baseline,-1,,,0.0,True,True,True,0,0,7,OK
scenario_1,during_attack,-1,,,0.0,True,True,True,0,0,12,OK
scenario_2,baseline,-1,,,0.0,True,True,True,0,0,17,OK
scenario_2,during_attack,-1,,,0.0,True,True,True,0,0,26,OK
scenario_3,baseline,-1,,,0.0,True,True,True,0,0,30,OK
scenario_3,during_attack,-1,,,0.0,True,True,True,0,0,35,OK
scenario_4,baseline,-1,,,0.0,True,True,True,0,0,40,OK
scenario_4,during_attack,-1,,,0.0,True,True,True,0,0,45,OK
scenario_5,baseline,-1,,,0.0,True,True,True,0,0,47,OK
scenario_5,during_attack,-1,,,0.0,True,True,True,0,0,51,OK
